id;station_a;station_b;distance
;Korzenica;Nowa Grobla;5.652
;Nowa Grobla;Oleszyce;8.411
;Oleszyce;Lubaczów;6.44
;Lubaczów;Basznia Dolna;6.854
;Basznia Dolna;Basznia;3.341
;Basznia;Horyniec-Zdrój;8.012
;Horyniec-Zdrój;Dziewięcierz;6.941
;Dziewięcierz;Werchrata;6.85
;Werchrata;Siedliska Tomaszowskie;6.339
;Siedliska Tomaszowskie;Hrebenne;5.346
;Stalowa Wola Charzewice;Turbia;4.164
;Stalowa Wola Rozwadów;Turbia;5.778
;Turbia;Zbydniów;4.15
;Zbydniów;Grębów;7.077
;Grębów;Sobów;7.389
;Sobów;Tarnobrzeg;4.403
;Tarnobrzeg;Chmielów Zagumnie;5.187
;Chmielów Zagumnie;Cygany;1.515
;Cygany;Jadachy;3.425
;Jadachy;Tarnowska Wola;4.51
;Tarnowska Wola;Dęba Rozalin;2.685
;Dęba Rozalin;Nowa Dęba;1.486
;Nowa Dęba;Huta Komorowska;4.109
;Huta Komorowska;Majdan Królewski;1.797
;Majdan Królewski;Majdan Królewski Podlasek;2.198
;Majdan Królewski Podlasek;Komorów Podmurynia;1.55
;Komorów Podmurynia;Cmolas;7.28
;Cmolas;Zarębki;2.505
;Zarębki;Kolbuszowa;3.27
;Kolbuszowa;Widełka;8.54
;Widełka;Budy Głogowskie;4.92
;Budy Głogowskie;Głogów Małopolski;3.626
;Głogów Małopolski;Rogoźnica koło Rzeszowa;3.664
;Rogoźnica koło Rzeszowa;Zaczernie;2.525
;Zaczernie;Rzeszów Miłocin;2.268
;Rzeszów Miłocin;Rzeszów Zachodni;2.553
;Rzeszów Zachodni;Rzeszów Główny;1.794
;Tarnów;Kłokowa;7.319
;Kłokowa;Łowczówek Pleśna;3.267
;Łowczówek Pleśna;Łowczów;5.437
;Łowczów;Tuchów;4.85
;Tuchów;Lubaszowa;3.718
;Lubaszowa;Siedliska koło Tuchowa;1.396
;Siedliska koło Tuchowa;Chojnik;3.134
;Chojnik;Gromnik;2.705
;Gromnik;Bogoniowice Ciężkowice;4.431
;Bogoniowice Ciężkowice;Pławna;5.89
;Pławna;Bobowa;5.243
;Bobowa;Bobowa-Miasto;1.796
;Bobowa-Miasto;Jankowa;1.418
;Jankowa;Wilczyska;3.218
;Wilczyska;Stróże;3.588
;Stróże;Grybów;3.657
;Grybów;Ptaszkowa;10.718
;Ptaszkowa;Mszalnica;4.773
;Mszalnica;Kamionka Wielka;4.087
;Kamionka Wielka;Nowy Sącz Jamnica;3.302
;Nowy Sącz Jamnica;Nowy Sącz;4.243
;Nowy Sącz;Nowy Sącz Biegonice;3.845
;Nowy Sącz Biegonice;Stary Sącz;3.39
;Stary Sącz;Barcice;3.675
;Barcice;Rytro;5.655
;Rytro;Młodów;2.505
;Młodów;Piwniczna-Zdrój;3.897
;Piwniczna-Zdrój;Piwniczna;2.151
;Piwniczna;Łomnica-Zdrój;1.665
;Łomnica-Zdrój;Wierchomla Wielka;3.957
;Wierchomla Wielka;Zubrzyk;2.189
;Zubrzyk;Żegiestów;4.991
;Żegiestów;Żegiestów-Zdrój;2.166
;Żegiestów-Zdrój;Andrzejówka;3.31
;Andrzejówka;Milik;2.607
;Milik;Muszyna;4.645
;Muszyna;Muszyna Zdrój;1.558
;Muszyna Zdrój;Powroźnik;3.798
;Powroźnik;Krynica-Zdrój;5.181
;Stróże;Polna;3.614
;Polna;Szalowa;2.245
;Szalowa;Wola Łużańska;4.23
;Wola Łużańska;Moszczenica Małopolska;4.614
;Moszczenica Małopolska;Gorlice Zagórzany;5.528
;Gorlice Zagórzany;Libusza;4.018
;Libusza;Biecz;3.229
;Biecz;Siepietnica;3.537
;Siepietnica;Skołyszyn;3.911
;Skołyszyn;Przysieki;4.227
;Przysieki;Jasło Niegłowice;4.674
;Jasło Niegłowice;Jasło;1.992
;Jasło;Gliniczek;5.344
;Gliniczek;Tarnowiec;2.843
;Tarnowiec;Jedlicze Męcinka;4.165
;Jedlicze Męcinka;Jedlicze;2.339
;Jedlicze;Krosno Turaszówka;3.822
;Krosno Turaszówka;Krosno Polanka;1.898
;Krosno Polanka;Krosno;2.027
;Krosno;Krosno Miasto;2.223
;Krosno Miasto;Targowiska;5.226
;Targowiska;Widacz;2.601
;Widacz;Wróblik Szlachecki;3.17
;Wróblik Szlachecki;Milcza;2.001
;Milcza;Besko;4.257
;Besko;Zarszyn;4.69
;Zarszyn;Długie;2.252
;Długie;Nowosielce;3.265
;Nowosielce;Sanok Dąbrówka;5.702
;Sanok Dąbrówka;Sanok Miasto;3.229
;Sanok Miasto;Sanok;1.048
;Sanok;Nowy Zagórz;5.334
;Nowy Zagórz;Lesko Łukawica;8.488
;Lesko Łukawica;Uherce;8.507
;Nowy Zagórz;Zagórz;1.13
;Zagórz;Lesko Łukawica;8.275
;Gorlice Zagórzany;Gorlice Glinik;3.003
;Gorlice Glinik;Gorlice;1.161
;Rzeszów Główny;Rzeszów Staroniwa;1.538
;Rzeszów Staroniwa;Rzeszów Osiedle;2.073
;Rzeszów Osiedle;Rzeszów Zwięczyca;2.312
;Rzeszów Zwięczyca;Boguchwała;3.057
;Boguchwała;Wisłoczanka;4.03
;Wisłoczanka;Babica;2.12
;Babica;Babica Kolonia;2.391
;Babica Kolonia;Czudec;2.81
;Czudec;Zaborów Błonia;2.674
;Zaborów Błonia;Zaborów;2.056
;Zaborów;Strzyżów nad Wisłokiem;6.023
;Strzyżów nad Wisłokiem;Dobrzechów;4.36
;Dobrzechów;Markuszowa;2.663
;Markuszowa;Kalembina;1.696
;Kalembina;Wiśniowa;2.342
;Wiśniowa;Frysztak;5.524
;Frysztak;Przybówka;4.25
;Przybówka;Wojaszówka;3
;Wojaszówka;Szebnie;4.12
;Szebnie;Jasło Fabryczne;6.081
;Jasło Fabryczne;Jasło;5.042
;Zagórz;Tarnawa Dolna;3.912
;Tarnawa Dolna;Czaszyn;4.125
;Czaszyn;Morochów;5.68
;Morochów;Mokre Małopolskie;2.703
;Mokre Małopolskie;Wysoczany;2.81
;Wysoczany;Szczawne Kulaszne;4.25
;Szczawne Kulaszne;Rzepedź;5.388
;Rzepedź;Komańcza Letnisko;4.205
;Komańcza Letnisko;Komańcza;1.048
;Komańcza;Osławica;7.776
;Osławica;Nowy Łupków;3.411
;Nowy Łupków;Łupków;2.582
;Zembrzyce;Sucha Beskidzka;5.414
;Sucha Beskidzka;Maków Podhalański;7.613
;Kraków Płaszów;Kraków Podgórze P2;1.431
;Kraków Podgórze P2;Kraków Bonarka;1.698
;Kraków Zabłocie;Kraków Podgórze;1.001
;Kraków Podgórze;Kraków Bonarka;1.728
;Kraków Bonarka;Kraków Łagiewniki;1.115
;Kraków Łagiewniki;Kraków Sanktuarium;1.102
;Kraków Sanktuarium;Kraków Swoszowice;1.746
;Kraków Swoszowice;Kraków Opatkowice;2.569
;Kraków Opatkowice;Kraków Sidzina;1.831
;Kraków Sidzina;Skawina Jagielnia;2.48
;Skawina Jagielnia;Skawina;1.502
;Kraków Sidzina;Skawina;3.982
;Skawina;Skawina Zachodnia;1.647
;Skawina Zachodnia;Podbory Skawińskie;2.3
;Podbory Skawińskie;Zelczyna;1.98
;Zelczyna;Wielkie Drogi;2.54
;Wielkie Drogi;Jaśkowice;2.604
;Jaśkowice;Brzeźnica;3.401
;Brzeźnica;Półwieś;3.915
;Półwieś;Ryczów;3.002
;Ryczów;Spytkownice Kępki;1.648
;Spytkowice Kępki;Spytkowice;3.575
;Spytkowice;Zator;3.625
;Zator;Przeciszów;4.408
;Przeciszów;Włosienica;3.092
;Włosienica;Dwory;4.165
;Dwory;Oświęcim;6.922
;Skawina;Rzozów;4.036
;Rzozów;Radziszów Centrum;0.998
;Radziszów Centrum;Radziszów;2.133
;Radziszów;Wola Radziszowska;3.127
;Wola Radziszowska;Podolany;1.999
;Podolany;Leńcze;2.184
;Leńcze;Przytkowice;4.139
;Przytkowice;Kalwaria Zebrzydowska Lanckorona;3.361
;Kalwaria Zebrzydowska Lanckorona;Stronie;6.74
;Stronie;Stryszów;4.121
;Stryszów;Zembczyce;7.71
;Zembczyce;Sucha Beskidzka Zamek;3.797
;Sucha Beskidzka Zamek;Maków Podhalański;6.054
;Maków Podhalański;Juszczyn;2.73
;Juszczyn;Kojszówka;2.982
;Kojszówka;Osielec;3.132
;Osielec;Bystra Podhalańska;3.143
;Bystra Podhalańska;Jordanów;4.715
;Jordanów;Skawa;4.03
;Skawa;Skawa Środkowa;2.655
;Skawa Środkowa;Chabówka;3.737
;Chabówka;Rabka-Zdrój;1.939
;Chabówka;Rokiciny Podhalańskie;3.275
;Rokiciny Podhalańskie;Raba Wyżna;2.346
;Raba Wyżna;Sieniawa;5.367
;Sieniawa;Pyzówka;4.055
;Pyzówka;Lasek;3.055
;Lasek;Nowy Targ;4.497
;Nowy Targ;Szaflary;3.935
;Szaflary;Szaflary Wieś;1.821
;Szaflary Wieś;Biały Dunajec;5.505
;Biały Dunajec;Poronin;3.61
;Poronin;Zakopane;5.868
;Rabka-Zdrój;Rabka Zaryte;3.654
;Rabka Zaryte;Mszana Dolna;9.358
;Kraków Lotnisko;Kraków Olszanica;1.851
;Kraków Olszanica;Kraków Zakliki;1.816
;Kraków Zakliki;Kraków Młynówka;0.699
;Kraków Młynówka;Kraków Bronowice;2.437
;Kraków Bieżanów;Kraków Bieżanów Drożdżownia;1.223
;Kraków Bieżanów Drożdżownia;Wieliczka Bogucice;1.673
;Wieliczka Bogucice;Wieliczka Park;1.47
;Wieliczka Park;Wieliczka Rynek-Kopalnia;0.644
;Trzebinia;Chrzanów Śródmieście;3.663
;Chrzanów Śródmieście;Chrzanów;1.68
;Chrzanów;Libiąż;5.891
;Libiąż;Chełmek Fabryka;6.262
;Chełmek Fabryka;Gorzów Chrzanowski;3.014
;Gorzów Chrzanowski;Oświęcim;4.743
;Zawadzkie;Kolonowskie;7.79
;Kolonowskie;Fosowskie;2.179
;Fosowskie;Staniszcze Małe;3.086
;Staniszcze Małe;Krasiejów;4.899
;Krasiejów;Ozimek;2.898
;Ozimek;Dębska Kuźnia;7.218
;Dębska Kuźnia;Chrząstowice;2.857
;Chrząstowice;Suchy Bór Opolski;2.722
;Suchy Bór Opolski;Opole Główne;7.77
;Herby Nowe;Boronów;9.761
;Boronów;Strzebiń;5.713
;Strzebiń;Kalety;5.999
;Wrocław Główny;Wrocław Mikołajów;3.97
;Wrocław Mikołajów;Wrocław Szczepin;1.583
;Wrocław Szczepin;Wrocław Nadodrze;1.385
;Wrocław Nadodrze;Wrocław Sołtysowice;3.927
;Wrocław Sołtysowice;Wrocław Kowale;1.921
;Wrocław Kowale;Wrocław Popiele;1.714
;Wrocław Popiele;Wrocław Swojczyce;0.918
;Wrocław Swojczyce;Wrocław Strachocin;1.972
;Wrocław Strachocin;Wrocław Wojnów;1.059
;Wrocław Wojnów;Wrocław Wojnów Wschodni;0.983
;Wrocław Wojnów Wschodni;Dobrzykowice Wrocławskie;1.44
;Dobrzykowice Wrocławskie;Nadolice Małe;2.96
;Nadolice Małe;Nadolice Wielkie;2.244
;Nadolice Wielkie;Chrząstawa Mała;2.17
;Chrząstawa Mała;Jelcz Miłoszyce;4.02
;Wrocław Sołtysowice;Wrocław Psie Pole;2.867
;Wrocław Psie Pole;Długołęka;6.114
;Długołęka;Borowa Oleśnicka;5.911
;Borowa Oleśnicka;Oleśnica;8.027
;Oleśnica;Oleśnica Rataje;2.73
;Oleśnica Rataje;Dąbrowa Oleśnicka;1.667
;Dąbrowa Oleśnicka;Dobroszyce;4.444
;Dobroszyce;Grabowno Wielkie;8.803
;Grabowno Wielkie;Twardogóra;6.238
;Twardogóra;Bukowina Sycowska;8.702
;Bukowina Sycowska;Międzybórz Sycowski;5.312
;Międzybórz Sycowski;Pawłów Wielkopolski;3.004
;Pawłów Wielkopolski;Sośnie Ostrowskie;5.627
;Sośnie Ostrowskie;Granowiec;4.553
;Granowiec;Garki;3.19
;Garki;Odolanów;4.172
;Odolanów;Tarchały Wielkie;2.795
;Tarchały Wielkie;Topola-Osiedle;5.045
;Topola-Osiedle;Ostrów Wielkopolski;5.282
;Ostrów Wielkopolski;Czekanów;7.05
;Czekanów;Ociąż;5.286
;Ociąż;Nowe Skalmierzyce;5.142
;Nowe Skalmierzyce;Kalisz Szczypiorno;3
;Kalisz Szczypiorno;Kalisz;3.51
;Kalisz;Kalisz Winiary;7.434
;Kalisz Winiary;Opatówek;6.388
;Opatówek;Radliczyce;8.833
;Radliczyce;Skalmierz;6.352
;Skalmierz;Błaszki;3.854
;Błaszki;Sędzice;8.658
;Sędzice;Sieradz;11.179
;Łódź Kaliska;Łódź Lublinek;7.185
;Łódź Lublinek;Pabianice;7.35
;Pabianice;Chechło;3.202
;Chechło;Dobroń;3.478
;Dobroń;Kolumna;3.694
;Kolumna;Łask;5.985
;Łask;Borszewice;5.332
;Borszewice;Zduńska Wola;6.179
;Zduńska Wola;Męcka Wola;7.072
;Męcka Wola;Sieradz Męka;4.967
;Sieradz Męka;Sieradz Warta;3.755
;Sieradz Warta;Sieradz;1.281
;Opole Główne;Opole Gosławice;5.512
;Opole Gosławice;Kotórz Mały;6.922
;Kotórz Mały;Osowiec Przystanek;2.59
;Osowiec Przystanek;Jełowa;4.666
;Jełowa;Kały;4.688
;Kały;Laskowice Oleskie;3.673
;Laskowice Oleskie;Tuły;1.986
;Tuły;Bukowo;2.499
;Bukowo;Borkowice;5.615
;Borkowice;Kluczbork;6.577
;Opole Zachodnie;Opole Chmielowice;2.961
;Opole Chmielowice;Komprachcice;3.675
;Komprachcice;Szydłów;8.877
;Szydłów;Tułowice;4.234
;Tułowice;Sowin;5.621
;Sowin;Łambinowice;3.808
;Łambinowice;Budziszowice;2.839
;Budziszowice;Jasienica Dolna;2.939
;Jasienica Dolna;Mańkowice;2.683
;Mańkowice;Kubice;2.99
;Kubice;Wyszków Śląski;3.797
;Wyszków Śląski;Nysa Wschodnia;2.003
;Nysa Wschodnia;Nysa;2.353
;Nysa;Nowy Świętów;11.847
;Nowy Świętów;Głuchołazy;5.952
;Głuchołazy;Głuchołazy Miasto;1.609
;Wrocław Psie Pole;Wrocław Zakrzów;1.127
;Wrocław Zakrzów;Wrocław Pawłowice;1.523
;Wrocław Pawłowice;Ramiszów;2.947
;Ramiszów;Pasikurowice;1.946
;Pasikurowice;Siedlec Trzebnicki;2.88
;Siedlec Trzebnicki;Pierwoszów Miłocin;2.793
;Pierwoszów Miłocin;Brochocin Trzebnicki;2.48
;Brochocin Trzebnicki;Trzebnica;4.04
;Kluczbork;Smardy;4.586
;Smardy;Wołczyn;7.46
;Wołczyn;Wierzbica Górna;5.04
;Wierzbica Górna;Domaszowice;7.063
;Domaszowice;Gręboszów;6.198
;Gręboszów;Namysłów;5.996
;Namysłów;Wilków Namysłowski;4.624
;Wilków Namysłowski;Bierutów;8.784
;Bierutów;Solniki Wielkie;4.715
;Solniki Wielkie;Oleśnica;9.102
;Wrocław Brochów;Siechnice;5.798
;Siechnice;Zakrzów Kotowice;4.756
;Zakrzów Kotowice;Czernica Wrocławska;2.498
;Czernica Wrocławska;Jelcz Miłoszyce;4.818
;Jelcz Miłoszyce;Jelcz-Laskowice;2.929
;Jelcz-Laskowice;Kopalina;4.579
;Kopalina;Minkowice Oławskie;3.777
;Minkowice Oławskie;Biskupice Oławskie;4.766
;Biskupice Oławskie;Borucice;3.057
;Borucice;Rogalice;3.544
;Rogalice;Mąkoszyce;3.721
;Mąkoszyce;Tarnowiec Brzeski;3.22
;Tarnowiec Brzeski;Karłowice;5.034
;Karłowice;Popielów;7.424
;Popielów;Chróścice;5.522
;Chróścice;Dobrzeń Wielki;4.018
;Dobrzeń Wielki;Opole Borki;3.569
;Opole Borki;Opole Czarnowąsy;3.46
;Opole Czarnowąsy;Opole Wschodnie;5.303
;Opole Wschodnie;Opole Główne;5.193
;Zawiercie;Czarnca;67.366
;Wrocław Główny;Iwiny;6.266
;Iwiny;Smardzów Wrocławski;2.766
;Smardzów Wrocławski;Żórawina;5.342
;Żórawina;Węgry;6.451
;Węgry;Boreczek;5.297
;Boreczek;Warkocz;5.876
;Warkocz;Strzelin;4.989
;Strzelin;Biały Kościół;6.843
;Biały Kościół;Henryków;7.426
;Henryków;Ziębice;6.309
;Ziębice;Starczów;9.244
;Starczów;Kamieniec Ząbkowicki;5.077
;Kamieniec Ząbkowicki;Bardo Przyłęk;10.659
;Bardo Przyłęk;Bardo Śląskie;1.894
;Bardo Śląskie;Ławica;5.961
;Ławica;Kłodzko Główne;3.081
;Kłodzko Główne;Kłodzko Miasto;1.735
;Kłodzko Miasto;Kłodzko Książek;3.06
;Kłodzko Książek;Kłodzko Zagórze;2.085
;Kłodzko Zagórze;Stary Wielisław;2.854
;Stary Wielisław;Polanica-Zdrój;4.535
;Polanica-Zdrój;Szczytna;5.703
;Szczytna;Duszniki-Zdrój;6.16
;Duszniki-Zdrój;Kulin Kłodzki;5.308
;Kulin Kłodzki;Lewin Kłodzki;8.651
;Lewin Kłodzki;Kudowa-Zdrój;3.871
;Kłodzko Miasto;Krosnowice Zdrój;5.146
;Krosnowice Zdrój;Gorzanów;4.398
;Gorzanów;Bystrzyca Kłodzka;6.576
;Bystrzyca Kłodzka;Bystrzyca Kłodzka Przedmieście;1.452
;Bystrzyca Kłodzka Przedmieście;Długopole Zdrój;5.555
;Długopole Zdrój;Domaszków;3.413
;Domaszków;Roztoki Bystrzyckie;2.949
;Roztoki Bystrzyckie;Międzylesie;5.245
;Bielawa Zachodnia;Bielawa Centralna;1.290
;Bielawa Centralna;Dzierżoniów Śląski;4.758
;Kędzierzyn-Koźle;Kędzierzyn-Koźle Przystanek;4.208
;Kędzierzyn-Koźle Przystanek;Kędzierzyn-Koźle Zachodnie;1.78
;Kędzierzyn-Koźle Zachodnie;Pokrzywnica;3.622
;Pokrzywnica;Twardawa;5.847
;Twardawa;Głogówek;8.978
;Głogówek;Racławice Śląskie;9.142
;Racławice Śląskie;Dytmarów;6.405
;Dytmarów;Prudnik;7.06
;Prudnik;Szybowice;7.202
;Szybowice;Nowy Las;5.194
;Nowy Las;Nowy Świętów;3.628
;Kamieniec Ząbkowicki;Ząbkowice Śląskie;9.86
;Ząbkowice Śląskie;Piława Górna;9.911
;Piława Górna;Dzierżoniów Śląski;11.824
;Dzierżoniów Śląski;Mościsko Dzierżoniowskie;6.737
;Mościsko Dzierżoniowskie;Krzyżowa;4.4
;Krzyżowa;Świdnica Miasto;6.844
;Świdnica Miasto;Bolesławice Świdnickie;5.42
;Bolesławice Świdnickie;Jaworzyna Śląska;4.549
;Jaworzyna Śląska;Stanowice;5.33
;Stanowice;Strzegom;5.122
;Strzegom;Goczałków;4.745
;Goczałków;Rogoźnica;1.662
;Rogoźnica;Jawor;6.709
;Jawor;Stary Jawor;5.707
;Stary Jawor;Przybyłowice;5.691
;Przybyłowice;Nowa Wieś Legnicka;5.911
;Nowa Wieś Legnicka;Legnica Piekary;2.852
;Legnica Piekary;Legnica;3.411
;Wrocław Główny;Wrocław Grabiszyn;4.596
;Wrocław Grabiszyn;Wrocław Zachodni;1.797
;Wrocław Zachodni;Mokronos Górny;3.204
;Mokronos Górny;Smolec;2.055
;Smolec;Sadowice Wrocławskie;4.326
;Sadowice Wrocławskie;Kąty Wrocławskie;5.579
;Kąty Wrocławskie;Mietków;9.353
;Mietków;Imbramowice;6.13
;Imbramowice;Żarów;6.764
;Żarów;Jaworzyna Śląska;5.523
;Jaworzyna Śląska;Świebodzice;9.406
;Świebodzice;Wałbrzych Szczawienko;8.389
;Wałbrzych Szczawienko;Wałbrzych Miasto;3.876
;Wałbrzych Miasto;Wałbrzych Fabryczny;4.76
;Wałbrzych Fabryczny;Wałbrzych Główny;4.346
;Wałbrzych Główny;Boguszów-Gorce Wschód;4.929
;Boguszów-Gorce Wschód;Boguszów-Gorce;1.643
;Boguszów-Gorce;Boguszów-Gorce Zachód;2.839
;Boguszów-Gorce Zachód;Witków Śląski;4.665
;Witków Śląski;Sędzisław;5.826
;Sędzisław;Marciszów;6.339
;Marciszów;Ciechanowice;2.678
;Ciechanowice;Janowice Wielkie;5.72
;Janowice Wielkie;Trzcińsko;3.523
;Trzcińsko;Wojanów;3.65
;Wojanów;Jelenia Góra;5.055
;Jelenia Góra;Jelenia Góra Zabobrze;1.33
;Jelenia Góra Zabobrze;Jelenia Góra Zachodnia;3.256
;Jelenia Góra Zachodnia;Jelenia Góra Przemysłowa;1.751
;Jelenia Góra Przemysłowa;Jelenia Góra Cieplice;2.652
;Jelenia Góra Cieplice;Jelenia Góra Orle;2.132
;Jelenia Góra Orle;Jelenia Góra Sobieszów;1.625
;Jelenia Góra Sobieszów;Piechowice Dolne;2.321
;Piechowice Dolne;Piechowice;1.734
;Piechowice;Górzyniec;3.966
;Górzyniec;Szklarska Poręba Dolna;5.519
;Szklarska Poręba Dolna;Szklarska Poręba Średnia;3.088
;Szklarska Poręba Średnia;Szklarska Poręba Górna;2.549
;Szklarska Poręba Górna;Szklarska Poręba Huta;1.612
;Szklarska Poręba Huta;Szklarska Poręba Jakuszyce;7.02
;Boguszów-Gorce Wschód;Unisław Śląski;4.958
;Unisław Śląski;Mieroszów;5.369
;Kłodzko Główne;Bierkowice;4.732
;Bierkowice;Gorzuchów Kłodzki;2.878
;Gorzuchów Kłodzki;Ścinawka Średnia;6.457
;Ścinawka Średnia;Nowa Ruda;7.597
;Nowa Ruda;Nowa Ruda Przedmieście;2.172
;Nowa Ruda Przedmieście;Nowa Ruda Zdrojowisko;3.343
;Nowa Ruda Zdrojowisko;Ludwikowice Kłodzkie;2.148
;Ludwikowice Kłodzkie;Świerki Dolne;3.852
;Świerki Dolne;Bartnica;2.031
;Bartnica;Głuszyca Górna;4.812
;Głuszyca Górna;Głuszyca;2.241
;Głuszyca;Jedlina-Zdrój;2.773
;Jedlina-Zdrój;Jedlina Górna;2.6
;Jedlina Górna;Wałbrzych Główny;3.354
;Brzeg;Olszanka;7.207
;Olszanka;Czeska Wieś;4.29
;Czeska Wieś;Lipowa Śląska;3.313
;Lipowa Śląska;Grodków Śląski;5.917
;Grodków Śląski;Stary Grodków;5.239
;Stary Grodków;Chróścina Nyska;3.751
;Chróścina Nyska;Skoroszyce;2.612
;Skoroszyce;Pakosławice;5.666
;Pakosławice;Myśliczyn;2.942
;Myśliczyn;Nysa;6.467
;Sędzisław;Kamienna Góra;5.946
;Kamienna Góra;Błażkowa;5.416
;Błażkowa;Lubawka;4.732
;Lubań Śląski;Gierałtów;9.08
;Gierałtów;Gierałtów Wykroty;3.052
;Gierałtów Wykroty;Węgliniec;9.669
;Jelenia Góra Zabobrze;Rybnica;9.208
;Rybnica;Stara Kamienica;5.729
;Stara Kamienica;Kwieciszowice;4.618
;Kwieciszowice;Rębiszów;5.164
;Rębiszów;Młyńsko;5.5
;Młyńsko;Gryfów Śląski;6.068
;Gryfów Śląski;Ubocze;2.551
;Ubocze;Olszyna Lubańska;3.757
;Olszyna Lubańska;Lubań Śląski;8.07
;Lubań Śląski;Zaręba;6.247
;Zaręba;Batowice Lubańskie;4.493
;Batowice Lubańskie;Mikułowa;3.32
;Mikułowa;Jerzmanki;5.533
;Jerzmanki;Zgorzelec;4.05
;Wrocław Główny;Wrocław Muchobór;4.956
;Wrocław Muchobór;Wrocław Nowy Dwór;1.856
;Wrocław Nowy Dwór;Wrocław Żerniki;2.683
;Wrocław Żerniki;Wrocław Leśnica;4.082
;Wrocław Leśnica;Mrozów;7.157
;Mrozów;Miękinia;3.699
;Miękinia;Przedmoście Święte;5.185
;Przedmoście Święte;Środa Śląska;4.165
;Środa Śląska;Malczyce;8.923
;Malczyce;Szczedrzykowice;9.517
;Szczedrzykowice;Jaśkowice Legnickie;2.727
;Jaśkowice Legnickie;Legnica;10.163
;Legnica;Jezierzany;5.637
;Jezierzany;Miłkowice;3.825
;Miłkowice;Chojnów;8.991
;Chojnów;Osetnica;6.414
;Osetnica;Okmiany;5.139
;Okmiany;Tomaszów Bolesławiecki;7.181
;Tomaszów Bolesławiecki;Bolesławiec;8.323
;Bolesławiec;Zebrzydowa;13.025
;Zebrzydowa;Zagajnik;6.707
;Zagajnik;Węgliniec;5.721
;Węgliniec;Pieńsk;13.98
;Pieńsk;Lasów;2.365
;Lasów;Jędrzychowice;6.076
;Jędrzychowice;Zgorzelec Miasto;2.134
;Zgorzelec Miasto;Zgorzelec;1.977
;Wrocław Muchobór;Wrocław Kuźniki;2.228
;Wrocław Kuźniki;Wrocław Stadion;1.445
;Wrocław Stadion;Wrocław Pracze;4.413
;Wrocław Pracze;Brzezinka Średzka;7.415
;Brzezinka Średzka;Czerna Mała;2.583
;Czerna Mała;Księginice;3.057
;Księginice;Brzeg Dolny;4.224
;Brzeg Dolny;Łososiowice;5.256
;Łososiowice;Wołów;4.792
;Wołów;Orzeszków;11.516
;Orzeszków;Małowice Wołowskie;2.668
;Małowice Wołowskie;Ścinawa;4.167
;Ścinawa;Chełmek Wołowski;6.857
;Chełmek Wołowski;Rudna Miasto;8.892
;Rudna Miasto;Rudna Gwizdanów;3.182
;Rudna Gwizdanów;Grębocice;9.879
;Grębocice;Krzepów;6.773
;Krzepów;Głogów;4.792
;Legnica;Rzeszotary;5.734
;Rzeszotary;Raszówka;5.885
;Raszówka;Chorzelin;2.944
;Chorzelin;Chróstnik;3.047
;Chróstnik;Lubin;4.689
;Lubin;Lubin Stadion;1.404
;Lubin Stadion;Koźlice;5.485
;Koźlice;Rynarcice;2.395
;Rynarcice;Rudna Miasto;4.622
;Legnica;Miłkowice;9.459
;Miłkowice;Rokitki;14.32
;Rokitki;Modła;7.151
;Modła;Wierzbowa Śląska;4.467
;Wierzbowa Śląska;Studzianka;5.615
;Studzianka;Leszno Górne;7.108
;Leszno Górne;Małomice;15.077
;Małomice;Żagań;11.217
;Żagań;Żary;12.838
;Żary;Sieniawa Żarska;5.28
;Sieniawa Żarska;Lipniki Łużyckie;3.99
;Lipniki Łużyckie;Tuplice Dębinka;7.133
;Tuplice Dębinka;Tuplice;5.077
;Tuplice;Zasieki;13.75
;Kutno;Nowe Kutnowskie;8.705
;Nowe Kutnowskie;Krzewie;4.172
;Krzewie;Turzynów;9.484
;Turzynów;Kłodawa;9.356
;Kłodawa;Barłogi;8.487
;Barłogi;Koło;9.55
;Koło;Budki Nowe;6.093
;Budki Nowe;Kramsk;6.084
;Kramsk;Konin;16.662
;Zbąszynek;Szczaniec;10.867
;Szczaniec;Kupienino;5.589
;Kupienino;Świebodzin;5.26
;Świebodzin;Wilkowo Świebodzińskie;5.145
;Wilkowo Świebodzińskie;Mostki;5.333
;Mostki;Toporów;9.74
;Toporów;Drzewce;6.691
;Drzewce;Torzym;9.17
;Torzym;Boczów;7.712
;Boczów;Rzepin;9.709
;Rzepin;Kunowice;12.155
;Kunowice;Słubice;2.989
;Konin;Konin Zachód;2.061
;Konin Zachód;Kawnice;5.079
;Kawnice;Spławie;4.182
;Spławie;Cienin Kościelny;5.794
;Cienin Kościelny;Cienin;2.885
;Cienin;Słupca;8.303
;Słupca;Strzałkowo;4.069
;Strzałkowo;Wólka;3.95
;Wólka;Otoczna;4.394
;Otoczna;Gutowo Wielkopolskie;3.194
;Gutowo Wielkopolskie;Września;6.922
;Września;Podstolice;7.4
;Podstolice;Nekla;5.673
;Nekla;Gułtowy;5.977
;Gułtowy;Kostrzyn Wielkopolski;6.897
;Kostrzyn Wielkopolski;Paczkowo;4.513
;Paczkowo;Swarzędz;5.828
;Swarzędz;Poznań Antoninek;3.336
;Poznań Antoninek;Poznań Wschód;4.043
;Poznań Wschód;Poznań Garbary;2.58
;Poznań Garbary;Poznań Główny;3.079
;Poznań Główny;Poznań Górczyn;4.499
;Poznań Górczyn;Poznań Junikowo;3.691
