id;station_a;station_b;distance
;Wisła Dziechcinka;Wisła Uzdrowisko;1.631
;Wisła Uzdrowisko;Wisła Obłaziec;2.272
;Wisła Obłaziec;Ustroń Polana;2.676
;Ustroń Polana;Ustroń Zdrój;3.007
;Ustroń Zdrój;Ustroń;1.272
;Ustroń;Goleszów;5.383
;Goleszów;Skoczów Bładnice;3.612
;Skoczów Bładnice;Skoczów;2.65
;Skoczów;Skoczów Bajerki;1.052
;Skoczów Bajerki;Pierściec;3.618
;Pierściec;Zaborze;4.672
;Zaborze;Chybie Mnich;2.059
;Chybie Mnich;Zabrzeg Czarnolesie;6.784
;Zabrzeg Czarnolesie;Zabrzeg;2.35
;Zabrzeg;Czechowice-Dziedzice;4.777
;Zabrzeg Czarnolesie;Chybie;6.981
;Chybie;Drogomyśl;3.951
;Chybie;Strumień;5.727
;Strumień;Żory;15.822
;Drogomyśl;Pruchna;5.084
;Pruchna;Zebrzydowice;6.567
;Zebrzydowice;Kończyce;2.692
;Kończyce;Kaczyce;2.42
;Kaczyce;Pogwizdów;3.523
;Pogwizdów;Cieszyn Marklowice;2.335
;Cieszyn Marklowice;Cieszyn;4.922
;Katowice Piotrowice;Mikołów Jamna;4.201
;Mikołów Jamna;Mikołów;2.889
;Mikołów;Łaziska Górne;4.136
;Łaziska Górne;Łaziska Górne Brada;1.877
;Łaziska Górne Brada;Orzesze;3.867
;Orzesze;Orzesze Jaśkowice;3.058
;Orzesze Jaśkowice;Czerwionka;4.405
;Czerwionka;Czerwionka Dębieńsko;1.781
;Czerwionka Dębieńsko;Leszczyny;3.902
;Leszczyny;Rybnik Paruszowiec;5.903
;Rybnik Paruszowiec;Rybnik;2.023
;Rybnik;Rybnik Towarowy;3.681
;Rybnik Towarowy;Rybnik Niedobczyce;1.437
;Rybnik Niedobczyce;Rybnik Niewiadom;2.112
;Rybnik Niewiadom;Rydułtowy;3.076
;Rydułtowy;Łuków Śląski;3.748
;Łuków Śląski;Sumina Wieś;2.382
;Sumina Wieś;Sumina;1.884
;Sumina;Górki Śląskie;1.064
;Górki Śląskie;Szymocice;3.106
;Szymocice;Nędza Wieś;3.191
;Nędza Wieś;Nędza;1.714
;Nędza;Racibórz Markowice;5.106
;Racibórz Markowice;Racibórz;4.138
;Rybnik Towarowy;Rybnik Rymer;1.763
;Rybnik Rymer;Radlin Obszary;2.097
;Radlin Obszary;Wodzisław Śląski Radlin;2.602
;Wodzisław Śląski Radlin;Wodzisław Śląski;1.366
;Wodzisław Śląski;Czyżowice;5.492
;Czyżowice;Bełsznica;4.334
;Bełsznica;Olza;2.86
;Olza;Rudyszwałd;3.325
;Rudyszwałd;Chałupki;1.841
;Pszczyna;Pszczyna Czarków;5.025
;Pszczyna Czarków;Radostowice;2.596
;Radostowice;Suszec;7.149
;Suszec;Suszec Kopalnia;1.43
;Suszec Kopalnia;Suszec Rudziczka;1.521
;Suszec Rudziczka;Żory;4.152
;Żory;Szczejkowice;4.193
;Szczejkowice;Rybnik Piaski;6.442
;Rybnik Piaski;Rybnik;3.194
;Tychy;Łaziska Średnie;7.711
;Łaziska Średnie;Orzesze Miasto;7.407
;Orzesze Miasto;Orzesze Jaśkowice;1.949
;Gliwice;Przyszowice;11.997
;Przyszowice;Knurów;7.166
;Przyszowice;Zabrze Makoszowy;4.72
;Zabrze Makoszowy;Katowice Ligota;16.677
;Zabrze Makoszowy;Katowice Załęże;16.857
;Knurów;Leszczyny;11.063
;Rudyszwałd;Roszków Raciborski;2.875
;Roszków Raciborski;Krzyżanowice;3.034
;Krzyżanowice;Tworków;3.667
;Tworków;Racibórz;9.08
;Oświęcim;Nowy Bieruń;4.242
;Nowy Bieruń;Chełm Śląski;4.289
;Chełm Śląski;Imielin;3.413
;Imielin;Mysłowice Kosztowy;3.541
;Mysłowice Kosztowy;Mysłowice Brzezinka;2.824
;Mysłowice Brzezinka;Mysłowice Brzęczkowice;1.791
;Mysłowice Brzęczkowice;Mysłowice;2.848
;Mysłowice;Katowice Szopienice Południowe;4.557
;Chorzów Batory;Chorzów Miasto;3.084
;Chorzów Miasto;Chorzów Stary;3.226
;Chorzów Stary;Bytom;5.155
;Bytom;Bytom Karb;2.691
;Bytom Karb;Bytom Północny;2.984
;Bytom Północny;Radzionków Rojca;2.551
;Radzionków Rojca;Radzionków;1.814
;Radzionków;Nakło Śląskie;2.738
