id;station_a;station_b;distance
;Bojanowo;Góra Śląska;14.864
;Bojanowo;Kaczkowo;6.541
;Bojary;Baciuty;3.134
;Boksycka;Ostrowiec Świętokrzyski;4.256
;Bolechowo;Owińska;3.206
;Bolesławice Świdnickie;Jaworzyna Śląska;4.549
;Bolesławiec;Zebrzydowa;13.025
;Boleszewo;Nowy Jarosław;4.39
;Boleszkowice;Mieszkowice;5.432
;Boreczek;Warkocz;5.876
;Borki-Kosy;Dziewule;4.442
;Borkowice;Kluczbork;6.577
;Borkowo;Żukowo;2.404
;Boronów;Strzebiń;5.713
;Borowa Oleśnicka;Oleśnica;8.027
;Borowiki;Czeremcha;10.216
;Borowina;Krzywda;5.652
;Borsukówka;Knyszyn;7.167
;Borszewice;Zduńska Wola;6.179
;Borucice;Rogalice;3.544
;Boszkowo;Starkowo;2.612
;Boża Wola;Seroki;4.216
;Bożacin;Wolenice;4.566
;Bożepole Wielkie;Godętowo;6.855
;Brachlewo;Ryjewo;4.718
;Bratków;Tomaszówek;0.735
;Bratoszewice;Głowno;4.547
;Brochocin Trzebnicki;Trzebnica;4.04
;Brody Iłżeckie;Staw Kunowski;3.845
;Brody Warszawskie;Studzianki Nowe;2.607
;Brokęcino;Lotyń;4.9
;Bronów;Taczanów;5.045
;Brusy;Lubnia;6.01
;Brwinów;Milanówek;3.948
;Brzask;Skarżysko Milica;3.589
;Brzeg Dolny;Łososiowice;5.256
;Brzeg Głogowski;Czerna;2.637
;Brzeg;Lipki;8.629
;Brzeg;Olszanka;7.207
;Brzesko Okocim;Sterkowiec;4.878
;Brzeszcze Jawiszowice;Jawiszowice Jaźnik;2.829
;Brzeszcze;Brzeszcze Jawiszowice;3.448
;Brzezie;Lubanie;6.28
;Brzezinka Średzka;Czerna Mała;2.583
;Brzeziny;Dębska Wola;9.211
;Brzeźnica Bychawska;Berejów;2.208
;Brzeźnica;Półwieś;3.915
;Brzeźno Człuchowskie;Człuchów;7.621
;Brzoza Bydgoska;Trzciniec;8.004
;Brzoza Toruńska;Toruń Czerniewice;1.756
;Brzozowica;Misie;5.614
;Brzozowiec Gorzowski;Deszczno;4.787
;Brzustów;Antoniów;5.129
;Buchałów;Letnica;5.36
;Budachów;Pliszka;7.255
;Budki Nowe;Kramsk;6.084
;Budy Głogowskie;Głogów Małopolski;3.626
;Budziszowice;Jasienica Dolna;2.939
;Budzyń;Ostrówki koło Chodzieży;5.168
;Bujaki;Waplewo;5.573
;Buk;Wojnowice Wielkopolskie;4.448
;Bukowa;Ludynia;4.161
;Bukowice Trzebnickie;Krośnice;8.252
;Bukowiec Międzyrzecki;Międzyrzecz;10.797
;Bukowina Sycowska;Międzybórz Sycowski;5.312
;Bukowno Przymiarki;Sławków;3.923
;Bukowno;Jaworzno Szczakowa;12.223
;Bukowno;Bukowno Przymiarki;3.8
;Bukowo Człuchowskie;Lipka Krajeńska;11.331
;Bukowo;Borkowice;5.615
;Bukwałd;Cerkiewnik;5.193
;Bulowice;Zamek Bulowicki;2.062
;Burkat;Turza Wielka;5.075
;Burkatów;Bystrzyca Górna;2.021
;Bursztynowo;Jabłonowo Pomorskie;7.344
;Byczyna Kluczborska;Kostów;7.135
;Bydgoszcz Bielawy;Bydgoszcz Wschód;2.095
;Bydgoszcz Błonie;Bydgoszcz Główna;4.309
;Bydgoszcz Brdyujście;Bydgoszcz Politechnika;1.833
;Bydgoszcz Fordon;Ostromecko;5.508
;Bydgoszcz Główna;Bydgoszcz Leśna;3.715
;Bydgoszcz Główna;Bydgoszcz Zachód;3.01
;Bydgoszcz Główna;Rynkowo Wiadukt;2.24
;Bydgoszcz Leśna;Bydgoszcz Bielawy;1.948
;Bydgoszcz Łęgnowo;Bydgoszcz Wschód;3.601
;Bydgoszcz Osowa Góra;Pawłówek;3.884
;Bydgoszcz Politechnika;Bydgoszcz Fordon;1.508
;Bydgoszcz Wschód;Bydgoszcz Brdyujście;1.874
;Bydgoszcz Zachód;Bydgoszcz Osowa Góra;2.911
;Bystra Podhalańska;Jordanów;4.715
;Bystrzyca Górna;Lubachów;1.785
;Bystrzyca Kłodzka Przedmieście;Długopole-Zdrój;5.555
;Bystrzyca Kłodzka;Bystrzyca Kłodzka Przedmieście;1.452
;Bystrzyca koło Lublina;Ciecierzyn;3.893
;Bytnica;Budachów;5.123
;Bytom Bobrek;Bytom;2.687
;Bytom Karb;Bytom Północny;2.984
;Bytom Odrzański;Nowa Sól;11.967
;Bytom Północny;Radzionków Rojca;2.551
;Bytom;Bytom Karb;2.691
;Bytonia;Kaliska;4.656
;Bzowiec;Rogiedle;3.1
;Cegłów;Mrozy;4.901
;Cekcyn;Wierzchucin Stary;4.753
;Celestynów;Kołbiel;3.502
;Cerkiewnik;Swobodna;2.917
;Chabówka Stadion;Rokiciny Podhalańskie;1.666
;Chabówka;Rabka-Zdrój;1.939
;Chabówka;Chabówka Stadion;1.609
;Chałupki (Gr);Bohumin;3.136
;Chałupki;Chałupki (Gr);1.296
;Chałupki;Bohumin Vrbice;4.835
;Chałupy;Kuźnica (Hel);5.581
;Charnowo Słupskie;Ustka;6.782
;Charsznica;Gajówka;4.685
;Chechło;Dobroń;3.478
;Chełm Miasto;Chełm;2.478
;Chełm Śląski;Imielin;3.413
;Chełm;Dorohusk;21.089
;Chełm;Karolinówka;7.003
;Chełmek Wołowski;Rudna Miasto;8.892
;Chełmek;Gorzów Chrzanowski;3.014
;Chełmża;Wrocławki;7.783
;Chludowo;Wargowo;2.677
;Chmielniki Bydgoskie;Brzoza Bydgoska;3.431
;Chmielów Zagumnie;Cygany;1.515
;Chocicza;Solec Wielkopolski;4.898
;Chociszew;Ozorków Nowe Miasto;3.897
;Chociszewo Rogoziniec;Lutol Suchy;4.263
;Chociwel;Lisowo;5.049
;Chocznia Górna;Inwałd;3.78
;Chocznia;Chocznia Górna;1.995
;Chodzież;Milcz;6.917
;Chojna;Lisie Pole;6.932
;Chojnice;Brzeźno Człuchowskie;7.125
;Chojnice;Moszczenica Pomorska;7.969
;Chojnice;Racławki;6.831
;Chojnice;Powałki;7.65
;Chojnik;Gromnik;2.705
;Chojnów;Biała Górna;2.871
;Chojnów;Osetnica;6.414
;Chorzele;Wielbark;14.977
;Chorzelów Południowy;Chorzelów;1.608
;Chorzelów;Tuszów Narodowy;3.445
;Chorzów Batory;Katowice Załęże;3.638
;Chorzów Batory;Chorzów Miasto;3.084
;Chorzów Miasto;Chorzów Stary;3.226
;Chorzów Stary;Bytom;5.155
;Choszczno;Ziemomyśl;6.954
;Chotomów;Janówek;7.365
;Chotyłów;Dobrynka;5.818
;Chronów;Wolanów;4.798
;Chrosna;Zabieżki;2.68
;Chrośnica;Zbąszyń;7.44
;Chróstnik;Lubin;4.689
;Chróścice;Dobrzeń Wielki;4.018
;Chróścina Nyska;Skoroszyce;2.612
;Chróścina Opolska;Dąbrowa Niemodlińska;5.355
;Chrusty Nowe;Rokiciny;3.165
;Chruszczobród;Wiesiółka;2.217
;Chrzanów Śródmieście;Chrzanów;1.68
;Chrzanów;Libiąż;5.891
;Chrząstawa Mała;Jelcz Miłoszyce;4.02
;Chrząstowice Olkuskie;Jaroszowiec Olkuski;5.365
;Chrząstowice;Suchy Bór Opolski;2.722
;Chrzęsne;Mokra Wieś;2.066
;Chwalibogowo;Obłaczkowo;1.342
;Chybie Mnich;Zabrzeg Czarnolesie;6.784
;Chybie;Drogomyśl;3.951
;Chybie;Strumień;5.727
;Chynów;Krężel;3.532
;Chytra;Stare Berezowo;4.282
;Ciasna;Sieraków Śląski;5.392
;Ciechanowice;Janowice Wielkie;5.72
;Ciechanów Przemysłowy;Ciechanów;2.785
;Ciechanów;Czeruchy;8.262
;Ciecholub;Biesowice;2.41
;Ciecierzyn;Rudnik;3.984
;Cieksyn;Nasielsk;8.383
;Cienin Kościelny;Cienin;2.885
;Cienin;Słupca;8.303
;Cieplewo;Pruszcz Gdański;2.683
;Cierpice Kąkol;Przyłubie;10.496
;Cierpigórz;Niemojki;8.068
;Cieszków;Zduny;1.956
;Cieszyn (Gr);Cesky Tesin;0.947
;Cieszyn Marklowice;Cieszyn;4.922
;Cieszyn Uniwersytet;Bażanowice;5.054
;Cieszyn;Cieszyn (Gr);1.559
;Cieszyn;Cieszyn Uniwersytet;0.857
;Cieszyno Łobeskie;Chociwel;11.465
;Cieśle;Oleśnica;6.546
;Cięcina Dolna;Cięcina;1.646
;Cięcina;Węgierska Górka;1.709
;Cikowice;Bochnia;3.794
;Cisie;Dębe Wielkie;2.504
;Cisiec;Milówka;3.239
;Cmolas;Zarębki;2.505
;Cybowo;Prostynia;3.139
;Cygany;Jadachy;3.425
;Czachówek Górny;Czachówek Południowy;1.091
;Czachówek Południowy;Sułkowice;3.811
;Czachówek Wschodni;Góra Kalwaria;7.038
;Czaplinek;Żelisławie Pomorskie;7.191
;Czarlin;Tczew;5.832
;Czarna Białostocka;Machnacz;3.94
;Czarna Tarnowska;Grabiny;6.319
;Czarna Woda;Łąg;3.772
;Czarnca;Żelisławice;6.681
;Czarne Małe;Czaplinek;5.804
;Czarne;Żółtnica;8.493
;Czarniecka Góra;Stąporków;4.063
;Czarnobór;Szczecinek;4.447
;Czarnowęsy Pomorskie;Rąbino;8.536
;Czarny Blok;Wólka Ratowiecka;4.002
;Czaszyn;Morochów;5.68
;Czechowice-Dziedzice Południowe;Bielsko-Biała Komorowice;3.467
;Czechowice-Dziedzice Przystanek;Czechowice-Dziedzice Południowe;2
;Czechowice-Dziedzice;Czechowice-Dziedzice Przystanek;2.546
;Czechowizna;Mońki;6.521
;Czekanów;Ociąż;5.286
;Czeluścin;Kobylin;4.293
;Czempiń;Iłowiec;5.821
;Czepino;Daleszewo;2.635
;Czeremcha;Dobrowoda;5.957
;Czeremcha;Kleszczele;5.658
;Czermno;Koziołek;4.987
;Czerna Mała;Księginice;3.057
;Czerna;Bytom Odrzański;5.266
;Czernica Wrocławska;Jelcz Miłoszyce;4.818
;Czerniejewo;Żydowo;3.239
;Czerniewice;Gołaszewo Kujawskie;4.107
;Czernikowo;Ograszka;6.381
;Czersk Świecki;Kwiatki;4.349
;Czersk;Gutowiec;7.71
;Czeruchy;Krośnice Mazowieckie;3.698
;Czerwieńsk;Sulechów;17.456
;Czerwieńsk;Nietków;4.866
;Czerwieńsk;Nietkowice;6.62
;Czerwionka Dębieńsko;Leszczyny;3.902
;Czerwionka;Czerwionka Dębieńsko;1.781
;Czerwonak Osiedle;Czerwonak;1.322
;Czerwonak;Poznań Karolin;3.319
;Czerwonka;Górowo;8.153
;Czeska Wieś;Lipowa Śląska;3.313
;Czesławice;Sadurki;12.845
;Częstochowa Aniołów;Częstochowa;3.929
